Site,Limpet_No,SL,Density
CNM_Zone_3,1,5.5,43
CNM_Zone_3,2,5.6,43
CNM_Zone_3,3,6.4,43
CNM_Zone_3,4,5.6,43
CNM_Zone_3,5,5.8,43
CNM_Zone_3,6,5.7,43
CNM_Zone_3,7,5,43
CNM_Zone_3,8,5.8,43
CNM_Zone_3,9,4.9,43
CNM_Zone_3,10,3,43
CNM_Zone_3,11,3.2,43
CNM_Zone_3,12,5,43
CNM_Zone_3,13,5.4,43
CNM_Zone_3,14,5.4,43
CNM_Zone_3,15,4.4,43
CNM_Zone_3,16,6.9,43
CNM_Zone_3,17,6.3,43
CNM_Zone_3,18,4,43
CNM_Zone_3,19,6.2,43
CNM_Zone_3,20,5.9,43
CNM_Zone_3,21,7,43
CNM_Zone_3,22,6.5,43
CNM_Zone_3,23,5.7,43
CNM_Zone_3,24,5.4,43
CNM_Zone_3,25,4,43
CNM_Zone_3,26,6.8,43
CNM_Zone_3,27,5.6,43
CNM_Zone_3,28,6,43
CNM_Zone_3,29,5.9,43
CNM_Zone_3,30,7.2,43
CNM_Zone_3,31,6.2,43
CNM_Zone_3,32,6,43
CNM_Zone_3,33,5.8,43
CNM_Zone_3,34,6.2,43
CNM_Zone_3,35,6.9,43
CNM_Zone_3,36,4.1,43
CNM_Zone_3,37,5.8,43
CNM_Zone_3,38,6.7,43
CNM_Zone_3,39,7.2,43
CNM_Zone_3,40,6,43
CNM_Zone_3,41,6.5,43
CNM_Zone_3,42,7,43
CNM_Zone_3,43,7,43
CNM_Zone_3,44,7,43
CNM_Zone_3,45,7,43
CNM_Zone_3,46,6.2,43
CNM_Zone_3,47,2.3,43
CNM_Zone_3,48,2.2,43
CNM_Zone_3,49,6.7,43
CNM_Zone_3,50,6.1,43
CNM_Zone_3,51,6.9,43
CNM_Zone_3,52,5.8,43
CNM_Zone_3,53,6.5,43
CNM_Zone_3,54,6.5,43
CNM_Zone_3,55,4,43
CNM_Zone_3,56,5.8,43
CNM_Zone_3,57,6.6,43
CNM_Zone_3,58,7,43
CNM_Zone_3,59,5.5,43
CNM_Zone_3,60,7.1,43
CNM_Zone_3,61,6.9,43
CNM_Zone_3,62,6.4,43
CNM_Zone_3,63,6.7,43
CNM_Zone_3,64,7,43
CNM_Zone_3,65,6.4,43
CNM_Zone_3,66,6.7,43
CNM_Zone_3,67,6.1,43
CNM_Zone_3,68,5.6,43
CNM_Zone_3,69,5.8,43
CNM_Zone_3,70,5.2,43
CNM_Zone_3,71,6.5,43
CNM_Zone_3,72,5.7,43
CNM_Zone_3,73,5.9,43
CNM_Zone_3,74,5.9,43
CNM_Zone_3,75,5.7,43
CNM_Zone_3,76,2.9,43
CNM_Zone_3,77,6.7,43
CNM_Zone_3,78,5.6,43
CNM_Zone_3,79,6.9,43
CNM_Zone_3,80,4.6,43
CNM_Zone_3,81,4.4,43
CNM_Zone_3,82,6.7,43
CNM_Zone_3,83,3.6,43
CNM_Zone_3,84,6.2,43
CNM_Zone_3,85,6.4,43
CNM_Zone_3,86,6.2,43
CNM_Zone_3,87,5.6,43
CNM_Zone_3,88,5.7,43
CNM_Zone_3,89,6,43
CNM_Zone_3,90,7.3,43
CNM_Zone_3,91,5.8,43
CNM_Zone_3,92,6.6,43
CNM_Zone_3,93,5.4,43
CNM_Zone_3,94,6,43
CNM_Zone_3,95,5.1,43
CNM_Zone_3,96,4,43
CNM_Zone_3,97,5,43
CNM_Zone_3,98,5.5,43
CNM_Zone_3,99,5.3,43
CNM_Zone_3,100,6.5,43
CNM_Zone_3,101,7,43
CNM_Zone_3,102,4.7,43
CNM_Zone_3,103,7,43
CNM_Zone_3,104,5.7,43
CNM_Zone_3,105,7.2,43
CNM_Zone_3,106,5,43
CNM_Zone_3,107,5.7,43
CNM_Zone_3,108,4.7,43
CNM_Zone_3,109,4.9,43
CNM_Zone_3,110,5.3,43
