Site,Plot_name,Date,Longitude,Latitude,Plot_size,Limpet_No,SL,Prox,Notes
Christy_Beach,CB_OL_1,2023-05-24,,,5,1,2.7,15.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,2,3,15.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,3,2.9,28.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,4,2.7,28.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,5,2.9,28.6,
Christy_Beach,CB_OL_1,2023-05-24,,,5,6,2.4,16.4,
Christy_Beach,CB_OL_1,2023-05-24,,,5,7,3.4,37.5,
Christy_Beach,CB_OL_1,2023-05-24,,,5,8,2.6,29.8,
Christy_Beach,CB_OL_1,2023-05-24,,,5,9,3.5,37.9,
Christy_Beach,CB_OL_1,2023-05-24,,,5,10,1.9,22.5,
Christy_Beach,CB_OL_1,2023-05-24,,,5,11,2.2,2.5,
Christy_Beach,CB_OL_1,2023-05-24,,,5,12,2.9,9.8,
Christy_Beach,CB_OL_1,2023-05-24,,,5,13,2.8,18.9,
Christy_Beach,CB_OL_1,2023-05-24,,,5,14,3,13.6,
Christy_Beach,CB_OL_1,2023-05-24,,,5,15,2.4,25.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,16,2.2,26.4,
Christy_Beach,CB_OL_1,2023-05-24,,,5,17,1.9,20.3,
Christy_Beach,CB_OL_1,2023-05-24,,,5,18,2.5,13.5,
Christy_Beach,CB_OL_1,2023-05-24,,,5,19,2.6,13.5,
Christy_Beach,CB_OL_1,2023-05-24,,,5,20,1.9,25.1,
Christy_Beach,CB_OL_1,2023-05-24,,,5,21,2.4,33.8,
Christy_Beach,CB_OL_1,2023-05-24,,,5,22,3.1,16.9,
Christy_Beach,CB_OL_1,2023-05-24,,,5,23,3.2,13.6,
Christy_Beach,CB_OL_1,2023-05-24,,,5,24,2.4,13.6,
Christy_Beach,CB_OL_1,2023-05-24,,,5,25,2.5,6.6,
Christy_Beach,CB_OL_1,2023-05-24,,,5,26,4,6.6,
Christy_Beach,CB_OL_1,2023-05-24,,,5,27,4.2,19.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,28,3,72.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,29,2.8,70.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,30,3.2,52.4,
Christy_Beach,CB_OL_1,2023-05-24,,,5,31,23,42.7,
Christy_Beach,CB_OL_1,2023-05-24,,,5,32,2.2,38.9,
Christy_Beach,CB_OL_1,2023-05-24,,,5,33,2,15.6,
Christy_Beach,CB_OL_1,2023-05-24,,,5,34,2.7,16.4,
Christy_Beach,CB_OL_1,2023-05-24,,,5,35,3.8,16,
Christy_Beach,CB_OL_1,2023-05-24,,,5,36,3,10.9,
Christy_Beach,CB_OL_1,2023-05-24,,,5,37,2.7,10.9,
Christy_Beach,CB_OL_1,2023-05-24,,,5,38,3.8,20.3,
Christy_Beach,CB_OL_1,2023-05-24,,,5,39,2.2,3.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,40,1.9,3.2,
Christy_Beach,CB_OL_1,2023-05-24,,,5,41,2.9,8.7,
Christy_Beach,CB_OL_1,2023-05-24,,,5,42,2.2,8.7,
Christy_Beach,CB_OL_1,2023-05-24,,,5,43,2.2,14.5,
Christy_Beach,CB_OL_1,2023-05-24,,,5,44,2.5,19.3,
Christy_Beach,CB_OL_1,2023-05-24,,,5,45,2.2,2.8,
Christy_Beach,CB_OL_1,2023-05-24,,,5,46,2.8,2.8,
Christy_Beach,CB_OL_1,2023-05-24,,,5,47,2.5,24.3,
Christy_Beach,CB_OL_2,2023-05-24,,,5,48,4.2,76.9,
Christy_Beach,CB_OL_2,2023-05-24,,,5,49,4,76.9,
Christy_Beach,CB_OL_2,2023-05-24,,,5,50,5.5,10.9,
Christy_Beach,CB_OL_2,2023-05-24,,,5,51,4.6,10.9,
Christy_Beach,CB_OL_2,2023-05-24,,,5,52,3.8,28.1,
Christy_Beach,CB_OL_2,2023-05-24,,,5,53,4.4,41.6,
Christy_Beach,CB_OL_2,2023-05-24,,,5,54,3.2,21.6,
Christy_Beach,CB_OL_2,2023-05-24,,,5,55,4.8,12.1,
Christy_Beach,CB_OL_2,2023-05-24,,,5,56,3.8,12.1,
Christy_Beach,CB_OL_2,2023-05-24,,,5,57,4.9,28.2,
Christy_Beach,CB_OL_2,2023-05-24,,,5,58,5,28.2,
Christy_Beach,CB_OL_2,2023-05-24,,,5,59,3.6,12.5,
Christy_Beach,CB_OL_2,2023-05-24,,,5,60,3.5,16.9,
Christy_Beach,CB_OL_2,2023-05-24,,,5,61,4.8,12.7,
Christy_Beach,CB_OL_2,2023-05-24,,,5,62,4.5,18.4,
Christy_Beach,CB_OL_2,2023-05-24,,,5,63,4.4,6.5,
Christy_Beach,CB_OL_2,2023-05-24,,,5,64,3.7,4.5,
Christy_Beach,CB_OL_2,2023-05-24,,,5,65,5.4,11.3,
Christy_Beach,CB_OL_2,2023-05-24,,,5,66,4.5,16.1,
Christy_Beach,CB_OL_2,2023-05-24,,,5,67,4.7,16.1,
Christy_Beach,CB_OL_2,2023-05-24,,,5,68,5.5,20,
Christy_Beach,CB_OL_2,2023-05-24,,,5,69,3.4,15.5,
