Site,Plot_name,Date,Longitude,Latitude,Plot_size,Limpet_No,SL,Prox,Area
SCI_Tree_1,OL_1,5/23/2023,,,10,1,2.5,0.3,10
SCI_Tree_1,OL_1,5/23/2023,,,10,2,2.2,0.3,10
SCI_Tree_1,OL_1,5/23/2023,,,10,3,2.4,11,10
SCI_Tree_1,OL_1,5/23/2023,,,10,4,2.1,11,10
SCI_Tree_1,OL_1,5/23/2023,,,10,5,2.1,3.5,10
SCI_Tree_1,OL_1,5/23/2023,,,10,6,2,3.2,10
SCI_Tree_1,OL_1,5/23/2023,,,10,7,2.4,19.6,10
SCI_Tree_1,OL_1,5/23/2023,,,10,8,2.8,11,10
SCI_Tree_1,OL_1,5/23/2023,,,10,9,1.9,4,10
SCI_Tree_1,OL_1,5/23/2023,,,10,10,2.4,5.2,10
SCI_Tree_1,OL_1,5/23/2023,,,10,11,2.5,3.6,10
SCI_Tree_1,OL_1,5/23/2023,,,10,12,6.5,2.8,10
SCI_Tree_1,OL_1,5/23/2023,,,10,13,5.1,20,10
SCI_Tree_1,OL_1,5/23/2023,,,10,14,6.2,3.6,10
SCI_Tree_1,OL_1,5/23/2023,,,10,15,6,3.6,10
SCI_Tree_1,OL_1,5/23/2023,,,10,16,5,8,10
SCI_Tree_1,OL_1,5/23/2023,,,10,17,4.4,29.9,10
SCI_Tree_1,OL_1,5/23/2023,,,10,18,7.5,91.3,10
SCI_Tree_1,OL_1,5/23/2023,,,10,19,2.4,67.8,10
SCI_Tree_1,OL_1,5/23/2023,,,10,20,4.2,63.1,10
SCI_Tree_1,OL_1,5/23/2023,,,10,21,1.7,43.1,10
SCI_Tree_1,OL_1,5/23/2023,,,10,22,4,69,10
SCI_Tree_1,OL_1,5/23/2023,,,10,23,4.4,4.9,10
SCI_Tree_1,OL_1,5/23/2023,,,10,24,4.6,4.9,10
SCI_Tree_1,OL_1,5/23/2023,,,10,25,5.5,79.5,10
SCI_Tree_1,OL_1,5/23/2023,,,10,26,5.9,79.5,10
