Plot,Limpet_no,SL
SC_1,1,61
SC_1,2,77
SC_1,3,59
SC_1,4,54
SC_1,5,55
SC_1,6,46
SC_1,7,52
SC_1,8,62
SC_1,9,51
SC_1,10,22
SC_1,11,24
SC_1,12,28
SC_1,13,53
SC_1,14,52
SC_1,15,34
SC_1,16,57
SC_1,17,45
SC_1,18,44
SC_1,19,47
SC_1,20,47
SC_1,21,50
SC_1,22,59
SC_1,23,31
SC_1,24,52
SC_1,25,46
SC_1,26,50
SC_2,1,35
SC_2,2,30
SC_2,3,35
SC_2,4,37
SC_2,5,41
SC_2,6,33
SC_2,7,34
SC_2,8,38
SC_2,9,37
SC_2,10,37
SC_2,11,30
SC_2,12,44
SC_2,13,37
SC_2,14,32
SC_2,15,30
SC_2,16,37
SC_2,17,36
SC_2,18,28
SC_2,19,27
SC_2,20,27
SC_2,21,30
SC_2,22,27
SC_2,23,28
SC_2,24,36
SC_2,25,32
SC_2,26,37
SC_2,27,37
SC_2,28,37
SC_2,29,26
SC_2,30,34
SC_2,31,26
SC_2,32,30
SC_2,33,33
SC_2,34,33
SC_2,35,44
SC_2,36,40
SC_2,37,50
SC_2,38,45
SC_2,39,20
SC_2,40,38
SC_2,41,22
SC_2,42,37
SC_2,43,44
SC_2,44,40
SC_2,45,29
SC_2,46,29
SC_2,47,41
SC_2,48,40
SC_2,49,35
SC_2,50,47
SC_2,51,25
SC_2,52,41
SC_2,53,42
SC_2,54,49
SC_2,55,50
SC_2,56,45
SC_2,57,43
SC_2,58,20
SC_2,59,43
SC_2,60,42
SC_2,61,42
SC_2,62,40
SC_2,63,33
SC_2,64,36
SC_2,65,25
SC_2,66,29
SC_2,67,23
SC_2,68,43
SC_2,69,45
SC_2,70,48
SC_2,71,34
SC_2,72,45
SC_2,73,51
SC_2,74,40
SC_2,75,40
SC_2,76,34
SC_2,77,29
SC_2,78,34
SC_2,79,37
SC_2,80,45
SC_2,81,42
SC_2,82,41
SC_2,83,35
SC_2,84,5
SC_2,85,24
SC_2,86,35
SC_2,87,40
SC_2,88,51
SC_2,89,54
SC_2,90,52
SC_2,91,25
SC_2,92,42
SC_2,93,53
SC_2,94,38
SC_2,95,40
SC_2,96,36
SC_2,97,38
SC_2,98,41
SC_2,99,58
SC_2,100,53
SC_2,101,51
SC_2,102,45
SC_2,103,49
SC_2,104,49
SC_2,105,40
SC_2,106,52
SC_2,107,45
SC_2,108,39
SC_2,109,30
SC_2,110,40
SC_2,111,27
SC_2,112,40
SC_2,113,48
SC_2,114,60
SC_2,115,35
SC_2,116,45
SC_2,117,37
SC_2,118,50
SC_2,119,47
SC_2,120,54
SC_2,121,48
SC_2,122,43
SC_2,123,35
SC_2,124,45
SC_2,125,36
SC_2,126,44
SC_2,127,34
SC_2,128,42
SC_2,129,48
SC_2,130,40
SC_2,131,38
SC_2,132,41
SC_2,133,40
SC_2,134,41
SC_2,135,35
SC_2,136,36
SC_2,137,39
SC_2,138,34
SC_2,139,34
SC_2,140,35
SC_2,141,39
SC_2,142,41
SC_2,143,49
SC_2,144,44
SC_2,145,50
SC_2,146,38
SC_2,147,42
SC_2,148,41
SC_2,149,30
SC_2,150,41
SC_2,151,30
SC_2,152,52
