Transect,Plot_Name,L_R,Meter_no,COL_pres,Tag_ID,COL_pres_TF,A_lugubris,L_plena,L_limatula,L_scabra,Nuttallina_sp,P_crassipes,T_funebralis,L_gigantea
CNM_1,CNM_1_E_1,L,1,Y,D002,TRUE,0,0,0,0,0,0,0,0
CNM_1,CNM_1_C_1,R,1,N,0,FALSE,0,0,0,0,0,0,0,1
CNM_1,CNM_1_E_2,R,2,Y,0,TRUE,0,0,0,0,0,0,0,0
CNM_1,CNM_1_C_2,L,2,N,0,FALSE,0,0,0,0,0,0,0,1
CNM_1,CNM_1_E_3,L,3,Y,0,TRUE,0,0,0,0,0,0,0,0
CNM_1,CNM_1_C_3,R,3,N,0,FALSE,0,0,1,1,0,0,0,0
CNM_1,CNM_1_E_4,R,4,Y,D003,TRUE,0,0,0,0,0,0,0,0
CNM_1,CNM_1_C_4,L,4,N,0,FALSE,0,0,0,1,0,0,0,0
CNM_1,CNM_1_E_5,L,5,Y,0,TRUE,0,0,0,0,0,0,0,1
CNM_1,CNM_1_C_5,R,5,N,0,FALSE,0,0,0,1,0,0,0,0
CNM_1,CNM_1_E_6,L,6,Y,D004,TRUE,0,0,0,0,0,0,0,1
CNM_1,CNM_1_C_6,R,6,N,0,FALSE,0,0,0,1,0,0,0,0
CNM_1,CNM_1_E_7,L,8,Y,D035,TRUE,0,0,0,1,0,0,0,1
CNM_1,CNM_1_C_7,R,8,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_1,CNM_1_E_8,L,10,Y,D005,TRUE,0,0,0,0,0,0,0,0
CNM_1,CNM_1_C_8,R,10,N,0,FALSE,0,0,0,0,0,0,0,1
CNM_2,CNM_2_E_1,R,2,Y,D023,TRUE,1,0,1,1,0,0,0,1
CNM_2,CNM_2_C_1,L,2,N,0,FALSE,1,0,0,1,0,0,0,1
CNM_2,CNM_2_E_2,R,4,Y,D024,TRUE,0,0,0,0,0,0,0,1
CNM_2,CNM_2_C_2,L,4,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_2,CNM_2_E_3,R,5,Y,0,TRUE,0,0,1,0,0,0,0,1
CNM_2,CNM_2_C_3,L,5,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_2,CNM_2_E_4,L,6,Y,D027,TRUE,0,0,0,0,0,0,0,1
CNM_2,CNM_2_C_4,R,6,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_2,CNM_2_E_5,R,8,Y,D025,TRUE,0,0,1,1,0,0,0,1
CNM_2,CNM_2_C_5,L,8,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_2,CNM_2_E_6,R,9,Y,0,TRUE,0,0,1,0,0,0,0,1
CNM_2,CNM_2_C_6,L,9,N,0,FALSE,0,0,0,1,0,0,1,1
CNM_2,CNM_2_E_7,R,10,Y,D026,TRUE,0,0,0,0,0,0,0,1
CNM_2,CNM_2_C_7,L,10,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_3,CNM_3_E_1,R,0,Y,D062,TRUE,0,0,0,0,0,0,0,0
CNM_3,CNM_3_C_1,R,0,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_3,CNM_3_E_2,R,1,Y,D086,TRUE,0,0,1,1,0,0,0,1
CNM_3,CNM_3_C_2,L,1,N,0,FALSE,0,0,1,0,0,0,0,0
CNM_3,CNM_3_E_3,R,2,Y,0,TRUE,0,0,0,1,0,0,0,1
CNM_3,CNM_3_C_3,L,2,N,0,FALSE,0,0,1,1,0,0,0,1
CNM_3,CNM_3_E_4,L,3,Y,D061,TRUE,1,0,1,1,0,0,0,1
CNM_3,CNM_3_C_4,R,3,N,0,FALSE,0,0,0,1,0,0,0,0
CNM_3,CNM_3_E_5,L,5,Y,D059,TRUE,0,0,0,0,0,0,0,1
CNM_3,CNM_3_C_5,R,5,N,0,FALSE,0,0,0,1,0,0,0,1
CNM_3,CNM_3_E_6,L,6,Y,D044,TRUE,0,0,0,0,0,0,0,0
CNM_3,CNM_3_C_6,R,6,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_3,CNM_3_E_7,L,9,Y,D045,TRUE,0,0,0,0,0,1,0,1
CNM_3,CNM_3_C_7,R,9,N,0,FALSE,0,0,0,1,0,0,0,0
CNM_4,CNM_4_E_1,R,0,Y,0,TRUE,0,0,0,1,0,0,0,1
CNM_4,CNM_4_C_1,L,0,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_4,CNM_4_E_2,R,2,Y,0,TRUE,0,0,0,0,0,0,0,0
CNM_4,CNM_4_C_2,L,2,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_4,CNM_4_E_3,R,4,Y,0,TRUE,0,0,0,0,0,0,0,1
CNM_4,CNM_4_C_3,L,4,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_4,CNM_4_E_4,R,5,Y,D073,TRUE,0,0,0,0,0,0,0,1
CNM_4,CNM_4_C_4,L,5,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_4,CNM_4_E_5,L,6,Y,D088,TRUE,0,0,0,0,0,0,0,1
CNM_4,CNM_4_C_5,R,6,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_4,CNM_4_E_6,L,7,Y,D068,TRUE,0,0,0,0,0,0,0,0
CNM_4,CNM_4_C_6,R,7,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_4,CNM_4_E_7,R,10,Y,0,TRUE,0,0,0,0,0,0,0,0
CNM_4,CNM_4_C_7,L,10,N,0,FALSE,0,0,0,0,0,0,0,0
CNM_5,CNM_5_E_1,R,0,Y,D133,TRUE,0,0,0,0,0,0,0,1
CNM_5,CNM_5_C_1,L,0,N,0,FALSE,0,0,0,0,0,0,0,0
