Transect,Plot_Name,L_R,Meter_no,COL_pres,Tag_ID,A_elegantissima,Chthalmus_sp,Bare_rock,Ralfsia_sp,P_polymerus,Ulva_sp
CNM_1,CNM_1_E_1,L,1,Y,0,0,1,1,0,0,0
CNM_1,CNM_1_C_1,R,1,N,0,0,1,1,0,0,0
CNM_1,CNM_1_E_2,R,2,Y,D002,0,1,1,0,0,0
CNM_1,CNM_1_C_2,L,2,N,0,0,1,1,0,0,0
CNM_1,CNM_1_E_3,L,3,Y,0,0,1,1,0,0,0
CNM_1,CNM_1_C_3,R,3,N,0,0,1,1,0,0,0
CNM_1,CNM_1_E_4,R,4,Y,D003,0,1,1,0,0,0
CNM_1,CNM_1_C_4,L,4,N,0,0,1,1,0,0,0
CNM_1,CNM_1_E_5,L,5,Y,0,0,1,1,0,0,0
CNM_1,CNM_1_C_5,R,5,N,0,0,1,1,0,0,0
CNM_1,CNM_1_E_6,R,6,Y,D003,0,1,1,0,0,0
CNM_1,CNM_1_C_6,L,6,N,0,0,1,1,1,0,0
CNM_1,CNM_1_E_7,L,8,Y,D035,0,0,1,0,0,0
CNM_1,CNM_1_C_7,R,8,N,0,0,1,1,0,0,0
CNM_1,CNM_1_E_8,L,10,Y,D005,0,1,1,0,0,0
CNM_1,CNM_1_C_8,R,10,N,0,0,1,1,0,0,0
CNM_2,CNM_2_E_1,R,2,Y,D023,0,0,0,1,1,0
CNM_2,CNM_2_C_1,L,2,N,0,0,1,1,0,0,0
CNM_2,CNM_2_E_2,R,4,Y,D024,0,0,1,1,0,0
CNM_2,CNM_2_C_2,L,4,N,0,0,1,1,0,0,0
CNM_2,CNM_2_E_3,R,5,Y,0,0,1,1,0,0,0
CNM_2,CNM_2_C_3,L,5,N,0,0,1,1,0,0,0
CNM_2,CNM_2_E_4,L,6,Y,D027,0,1,1,1,0,0
CNM_2,CNM_2_C_4,R,6,N,0,0,0,1,1,0,0
CNM_2,CNM_2_E_5,R,8,Y,D025,0,1,1,0,0,0
CNM_2,CNM_2_C_5,L,8,N,0,0,0,1,1,0,0
CNM_2,CNM_2_E_6,R,9,Y,0,0,1,1,0,0,0
CNM_2,CNM_2_C_6,L,9,N,0,0,0,1,0,0,0
CNM_2,CNM_2_E_7,R,10,Y,D026,0,1,1,0,0,0
CNM_2,CNM_2_C_7,L,10,N,0,0,1,1,0,0,0
CNM_3,CNM_2_E_1,R,0,Y,D062,0,1,0,0,0,0
CNM_3,CNM_3_C_1,L,0,N,0,0,0,1,0,0,0
CNM_3,CNM_3_E_2,R,1,Y,D086,0,1,1,0,0,0
CNM_3,CNM_3_C_2,L,1,N,0,0,1,1,0,0,0
CNM_3,CNM_3_E_3,R,2,Y,0,0,1,1,0,0,0
CNM_3,CNM_3_C_3,L,2,N,0,0,1,1,0,0,0
CNM_3,CNM_3_E_4,L,3,Y,D061,0,1,1,0,0,0
CNM_3,CNM_3_C_4,R,3,N,0,0,1,1,0,0,0
CNM_3,CNM_3_E_5,L,5,Y,D059,0,1,1,0,0,0
CNM_3,CNM_3_C_5,R,5,N,0,0,1,1,0,0,0
CNM_3,CNM_3_E_6,L,6,Y,D044,0,1,1,0,0,0
CNM_3,CNM_3_C_6,R,6,N,0,0,0,1,0,0,0
CNM_3,CNM_3_E_7,L,9,Y,D045,0,1,1,0,0,0
CNM_4,CNM_4_E_1,R,0,Y,0,0,1,1,1,0,0
CNM_4,CNM_4_C_1,L,0,N,0,0,1,1,0,0,0
CNM_4,CNM_4_E_2,R,2,Y,0,0,0,1,0,0,0
CNM_4,CNM_4_C_2,L,2,N,0,0,1,1,0,0,0
CNM_4,CNM_4_E_3,R,4,Y,0,0,0,1,1,0,0
CNM_4,CNM_4_C_3,L,4,N,0,0,1,1,0,0,0
CNM_4,CNM_4_E_4,R,5,Y,D073,0,1,1,0,0,0
CNM_4,CNM_4_C_4,L,5,N,0,0,1,1,0,0,0
CNM_4,CNM_4_E_5,L,6,Y,D088,0,1,1,0,0,0
CNM_4,CNM_4_C_5,R,6,N,0,0,1,1,0,0,0
CNM_4,CNM_4_E_6,L,7,Y,D068,0,0,1,0,0,0
CNM_4,CNM_4_C_6,R,7,N,0,0,1,1,0,0,0
CNM_4,CNM_4_E_7,R,10,Y,D109,0,1,1,0,0,0
CNM_4,CNM_4_C_7,L,10,N,0,0,1,1,0,0,0
CNM_5,CNM_5_E_1,R,0,Y,D133,0,0,1,1,0,0
CNM_5,CNM_5_C_1,L,0,N,0,0,1,1,0,0,0
CNM_5,CNM_5_E_2,L,2,Y,0,0,1,1,1,0,0
CNM_5,CNM_5_C_2,R,2,N,0,0,1,1,0,0,0
CNM_5,CNM_5_E_3,R,6,Y,0,0,1,1,0,0,0
CNM_5,CNM_5_C_3,L,6,N,0,0,1,1,0,0,0
CNM_5,CNM_5_E_4,R,8,Y,0,0,1,1,0,0,1
CNM_5,CNM_5_C_4,L,8,N,0,0,1,1,0,0,0
CNM_6,CNM_6_E_1,L,5,Y,D141,0,0,1,1,0,0
CNM_6,CNM_6_C_1,R,5,N,0,0,1,1,0,0,0
CNM_6,CNM_6_E_2,L,8,Y,D147,0,0,1,1,0,0
CNM_6,CNM_6_C_2,R,8,N,0,0,1,1,0,0,0
CNM_6,CNM_6_E_3,L,9,Y,D154,0,1,1,0,0,0
CNM_6,CNM_6_C_3,R,9,N,0,1,0,1,0,0,0
