Transect,Plot_Name,L_R,Meter_no,COL_pres,Tag_ID,M_lugubris,L_dentiens,L_plena,L_keenae,L_limatula,L_scabra,Nuttallina_sp,Mopalia_sp,P_crassipes,T_eiseni,T_funebralis,T_gallina,L_gigantea
CNM_1,CNM_1_E_1,R,0,Y,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CNM_1,CNM_1_C_1,L,0,N,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CNM_1,CNM_1_E_2,L,1,Y,D019,1,0,0,0,1,0,0,0,0,0,1,0,1
CNM_1,CNM_1_C_2,R,1,N,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CNM_1,CNM_1_E_3,L,3,Y,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CNM_1,CNM_1_C_3,R,3,N,0,0,0,1,0,0,1,0,0,0,0,0,0,0
CNM_1,CNM_1_E_4,R,4,Y,0,0,0,0,1,0,1,0,0,0,1,0,0,0
CNM_1,CNM_1_C_4,L,4,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNM_1,CNM_1_E_5,L,8,Y,0,0,0,0,0,1,0,0,0,0,0,1,1,1
CNM_1,CNM_1_C_5,R,8,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNM_1,CNM_1_E_6,R,9,Y,0,0,0,0,1,1,1,0,0,0,0,0,0,1
CNM_1,CNM_1_C_6,L,9,N,0,0,0,0,1,1,0,0,0,0,0,0,0,1
CNM_1,CNM_1_E_7,R,10,Y,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CNM_1,CNM_1_C_7,L,10,N,0,0,0,0,0,1,1,0,0,0,0,0,0,0
CNM_2,CNM_2_E_1,L,0,Y,0,0,0,1,1,1,0,0,0,0,0,0,0,1
CNM_2,CNM_2_C_1,R,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNM_2,CNM_2_E_2,L,1,Y,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CNM_2,CNM_2_C_2,R,1,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNM_2,CNM_2_E_3,R,4,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNM_2,CNM_2_C_3,L,4,Y,0,0,0,0,1,1,0,0,0,0,0,0,0,1
CNM_2,CNM_2_E_4,L,5,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CNM_2,CNM_2_C_4,R,5,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CNM_2,CNM_2_E_5,R,6,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNM_2,CNM_2_C_5,L,6,N,0,0,0,0,0,0,0,0,0,0,0,1,1,1
CNM_2,CNM_2_E_6,R,8,Y,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CNM_2,CNM_2_C_6,L,8,N,0,0,0,1,1,1,1,0,0,0,0,0,0,1
