Date,Transect,Plot_Name,L_R,Meter_no,COL_pres,Tag_ID,COL_pres_TF,M_lugubris,L_dentiens,L_plena,L_keenae,L_limatula,L_scabra,Nuttallina_sp,Mopalia_sp,P_crassipes,T_eiseni,T_funebralis,T_gallina,L_gigantea
2024_02,CNM_1,CNM_1_E_1,R,0,Y,0,TRUE,0,0,0,0,0,1,0,0,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_1,L,0,N,0,FALSE,0,0,0,0,15,0,0,0,0,0,0,0,14
2024_02,CNM_1,CNM_1_E_2,L,1,Y,D019,TRUE,2,0,0,0,3,0,0,0,0,0,1,0,3
2024_02,CNM_1,CNM_1_C_2,R,1,N,0,FALSE,0,0,0,0,12,0,0,0,0,0,0,0,11
2024_02,CNM_1,CNM_1_E_3,L,3,Y,0,TRUE,0,0,0,0,4,0,0,0,0,0,0,0,13
2024_02,CNM_1,CNM_1_C_3,R,3,N,0,FALSE,0,0,3,0,0,7,0,0,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_4,R,4,Y,0,TRUE,0,0,0,2,0,1,0,0,0,2,0,0,0
2024_02,CNM_1,CNM_1_C_4,L,4,N,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_5,L,8,Y,0,TRUE,0,0,0,0,1,0,0,0,0,0,3,3,6
2024_02,CNM_1,CNM_1_C_5,R,8,N,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024_02,CNM_1,CNM_1_E_6,R,9,Y,0,TRUE,0,0,0,3,2,2,0,0,0,0,0,0,1
2024_02,CNM_1,CNM_1_C_6,L,9,N,0,FALSE,0,0,0,2,15,0,0,0,0,0,0,0,9
2024_02,CNM_1,CNM_1_E_7,R,10,Y,0,TRUE,0,0,0,0,0,2,0,0,0,0,0,0,0
2024_02,CNM_1,CNM_1_C_7,L,10,N,0,FALSE,0,0,0,0,1,2,0,0,0,0,0,0,0
2024_02,CNM_2,CNM_2_E_1,L,0,Y,0,TRUE,0,0,26,5,10,0,0,0,0,0,0,0,5
2024_02,CNM_2,CNM_2_C_1,R,0,N,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
2024_02,CNM_2,CNM_2_E_2,L,1,Y,0,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,0
2024_02,CNM_2,CNM_2_C_2,R,1,N,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0
