Date,Transect,Plot_Name,L_R,Meter_no,COL_pres,T_F,Tag_ID,A_elegantissima,Phragmatopoma_californica,Balanus_Chtalmus,Bare_rock,Ralfsia_sp,Coralline_crust,Endocladia_sp,P_polymerus,Ulva_sp,Notes
2024_02,CNM_1,CNM_1_E_1,R,0,Y,TRUE,0,0,0,3,13,0,0,0,0,0,
2024_03,CNM_1,CNM_1_C_1,L,0,N,FALSE,0,0,0,8,8,0,0,0,0,0,
2024_04,CNM_1,CNM_1_E_2,L,1,Y,TRUE,D019,0,0,5,11,0,0,0,0,0,
2024_05,CNM_1,CNM_1_C_2,R,1,N,FALSE,0,0,0,1,5,0,0,0,0,0,
2024_06,CNM_1,CNM_1_E_3,L,3,Y,TRUE,0,0,0,11,7,0,0,0,0,0,
2024_07,CNM_1,CNM_1_C_3,R,3,N,FALSE,0,0,0,10,6,0,0,0,0,0,
2024_08,CNM_1,CNM_1_E_4,R,4,Y,TRUE,0,0,0,7,9,0,0,0,0,0,
2024_09,CNM_1,CNM_1_C_4,L,4,N,FALSE,0,0,0,8,8,0,0,0,0,0,
2024_10,CNM_1,CNM_1_E_5,L,8,Y,TRUE,0,0,0,2,14,0,0,0,0,0,
2024_11,CNM_1,CNM_1_C_5,R,8,N,FALSE,0,0,0,2,14,0,0,0,0,0,
2024_12,CNM_1,CNM_1_E_6,R,9,Y,TRUE,0,0,0,10,6,0,0,0,0,0,
2024_13,CNM_1,CNM_1_C_6,L,9,N,FALSE,0,0,0,16,0,0,0,0,0,0,
2024_14,CNM_1,CNM_1_E_7,R,10,Y,TRUE,0,0,0,0,16,0,0,0,0,0,
2024_15,CNM_1,CNM_1_C_7,L,10,N,FALSE,0,0,0,4,12,0,0,0,0,0,
2024_16,CNM_2,CNM_2_E_1,L,0,Y,TRUE,0,0,0,10,6,0,0,0,0,0,
2024_17,CNM_2,CNM_2_C_1,R,0,N,FALSE,0,0,0,0,16,0,0,0,0,0,
2024_18,CNM_2,CNM_2_E_2,L,1,Y,TRUE,0,0,0,4,12,0,0,0,0,0,
2024_19,CNM_2,CNM_2_C_2,R,1,N,FALSE,0,0,0,13,3,0,0,0,0,0,
2024_20,CNM_2,CNM_2_E_3,R,4,Y,TRUE,0,0,0,4,12,0,0,0,0,0,
2024_21,CNM_2,CNM_2_C_3,L,4,N,FALSE,0,0,0,7,9,0,0,0,0,0,
2024_22,CNM_2,CNM_2_E_4,L,5,Y,TRUE,0,0,0,2,14,0,0,0,0,0,
2024_23,CNM_2,CNM_2_C_4,R,5,N,FALSE,0,0,0,10,6,0,0,0,0,0,
2024_24,CNM_2,CNM_2_E_5,R,6,Y,TRUE,0,0,0,9,9,7,0,0,0,0,
2024_25,CNM_2,CNM_2_C_5,L,6,N,FALSE,0,0,0,1,15,0,0,0,0,0,
2024_26,CNM_2,CNM_2_E_6,R,8,Y,TRUE,0,0,0,7,8,0,0,0,0,0,
2024_27,CNM_2,CNM_2_C_6,L,8,N,FALSE,0,0,0,9,0,7,0,0,0,0,
2024_28,CNM_2,CNM_2_E_7,L,10,Y,TRUE,D025,0,0,1,15,0,0,0,0,0,
2024_29,CNM_2,CNM_2_C_7,R,10,N,FALSE,0,2,0,4,10,0,0,0,0,0,
2024_30,CNM_3,CNM_3_E_1,R,0,Y,TRUE,D062,0,0,5,11,0,0,0,0,0,
2024_31,CNM_3,CNM_3_C_1,L,0,N,FALSE,0,0,0,11,5,0,0,0,0,0,
2024_32,CNM_3,CNM_3_E_2,L,2,Y,TRUE,0,0,0,5,11,0,0,0,0,0,
2024_33,CNM_3,CNM_3_C_2,R,2,N,FALSE,0,0,0,1,11,4,0,0,0,0,
